CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
U91110MN1966NPL001263,ALL MANIPUR INDUSTRIALISTS ASSOCIATION   ,ACTV,Public,Company Limited by Guarantee,Non-govt company,06-01-1966,Manipur,0,0,91110,Other community social and personal service activities,KHURAI SOIBAM LEIKAI   ,ROC SHILLONG,NA,NA,NA
U91990MN2000NPL006351,ECONOMICALLY BACKWARD CLASSES WELFARECOMPANY  ,ACTV,Public,Company limited by Shares,Non-govt company,09-11-2000,Manipur,500000,200000,91990,Other community social and personal service activities,IROM MEIJAROWONGOI  ,ROC SHILLONG,prasad_carajesh@yahoo.co.in,31-03-2014,31-03-2014
U92100MN2012PTC008313,NE BROTHERS ENTERTAINMENTS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,15-11-2012,Manipur,100000,100000,92100,Other community social and personal service activities,"KEISHAMTHONG ELANGBAM LEIKAI, H NO. 47LEIRAK ACHOUBA, PO/PS-IMPHAL  ",ROC SHILLONG,nebrothers@gmail.com,31-03-2019,31-03-2019
U92100MN2019PTC013835,KOIRENG AND SONS ENTERTAINMENT PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,15-03-2019,Manipur,300000,300000,92100,Other community social and personal service activities,"12296, 23 - B - 24 / 11, Haobam Marak,Ngangom Leikai,  ",ROC SHILLONG,pnksingh70@gmail.com,31-03-2019,31-03-2019
U92111MN1987SGC002688,MANIPUR FILM DEV CORPN LTD   ,ACTV,Public,Company limited by Shares,State Govt company,01-05-1987,Manipur,15000000,300000,92111,Other community social and personal service activities,NA,ROC SHILLONG,NA,NA,NA
U92111MN2002PTC006865,MOZAIC MEDIA & COMMUNICATION PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,28-06-2002,Manipur,2500000,2500000,92111,Other community social and personal service activities,M M BUILDINGPURANA BAZARTHANGAL BAZAR  ,ROC SHILLONG,boycha77@gmail.com,31-03-2017,31-03-2017
U92112MN1996PTC004684,PARADISE VISION FILMS PVT LTD   ,STOF,Private,Company limited by Shares,Non-govt company,14-02-1996,Manipur,500000,120000,92112,Other community social and personal service activities,IMPHALIMPHAL  ,ROC SHILLONG,NA,NA,NA
U92113MN1998PTC005458,SALEM VISION PVT LTD   ,STOF,Private,Company limited by Shares,Non-govt company,07-07-1998,Manipur,1000000,2000,92113,Other community social and personal service activities,SALEM HOUSEOLD LAMBULANE JAIL ROADIMPHAL  ,ROC SHILLONG,NA,NA,NA
U92120MN2015PTC008397,MANGANG CINEMAX INDUSTRIES PRIVATELIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,07-01-2015,Manipur,1000000,1000000,92120,Other community social and personal service activities,"MINUTHONG, HOUSE NO. 22KOBO LEIKAI, IMPHAL EAST DISTRICT  ",ROC SHILLONG,mangangcold@gmail.com,NA,NA
U92130MN2013PTC008366,LEICHAL MEDIA & ENTERTAINMENT PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,19-12-2013,Manipur,5000000,100000,92130,Other community social and personal service activities,Thoubal Awang LeikaiNear Indra Hall  ,ROC SHILLONG,akbikendrajit29@gmail.com,31-03-2019,31-03-2019
U92190MN2019PTC013933,MAMI MAHEI PICTURES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,27-08-2019,Manipur,100000,100000,92190,Other community social and personal service activities,"10452, 25-B-81/6MONGSANGEI  ",ROC SHILLONG,kirmilsoraisam@gmail.com,NA,NA
U92412MN2015PTC008432,NEROCA FOOTBALL CLUB PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,15-06-2015,Manipur,2500000,1000000,92412,Other community social and personal service activities,Hotel Classic Grande Chingmeirong   ,ROC SHILLONG,accounts@babinadiagnostics.com,31-03-2019,31-03-2019
U92412MN2019PTC013888,MMSC ADVENTURES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,24-06-2019,Manipur,100000,100000,92412,Other community social and personal service activities,"C-1-113/2Nagamapal, Lamabam Leikei  ",ROC SHILLONG,mmsc.imphal@gmail.com,NA,NA
U92419MN2019PTC013913,CLOUD ENTERTAINMENT NETWORK PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,29-07-2019,Manipur,1000000,1000,92419,Other community social and personal service activities,"12787 , 28-B-26KEISHAM LEIKAI  ",ROC SHILLONG,incorppvt@gmail.com,NA,NA
U92419MN2019PTC013967,SORAISAM SPORTS INFRA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,25-10-2019,Manipur,100000000,2000000,92419,Other community social and personal service activities,"C/O FISH ARCADE, 46,NAORAI PAKHANGALPAM,  ",ROC SHILLONG,SORAISAMENTERPRISES@GMAIL.COM,NA,NA
U92490MN2014PTC008370,TANGIBLE AND INTANGIBLE CULTURE HERITAGE SAFEGUARDING PRIVATE LIMITED  ,UPSO,Private,Company limited by Shares,Non-govt company,21-01-2014,Manipur,100000,100000,92490,Other community social and personal service activities,"YAISKUL JANMASTHAN,LEIKAIIMPHAL WEST DISTRICT  ",ROC SHILLONG,roc@onlinesbs.in,NA,NA
U92490MN2016PTC013495,KANGLEIPAK SPORTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,14-10-2016,Manipur,1000000,100000,92490,Other community social and personal service activities,MI Road Community HallNingombam Mayai Leikai  ,ROC SHILLONG,sunildatta.meitei@gmail.com,31-03-2019,31-03-2019
U92490MN2020PTC014023,KAGO SPORTS MANAGEMENT PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,15-01-2020,Manipur,1000000,100000,92490,Other community social and personal service activities,"C/O. H. JUGESHWOR SINGH, IED-,217573, 28-A-107, KEISHAMPAT  ",ROC SHILLONG,cspuinachandra@gmail.com,NA,NA
U93000MN1998PTC005548,M G T MOTORS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,05-10-1998,Manipur,10000000,3310500,93000,Other community social and personal service activities,M G AVENUEIMPHAL   ,ROC SHILLONG,jorabataccounts@mgtmotors.com,31-03-2018,31-03-2018
U93000MN2010PTC008264,ELKINEHTEL BIOTECH PRIVATE LIMITED   ,UPSO,Private,Company limited by Shares,Non-govt company,09-07-2010,Manipur,1000000,150000,93000,Other community social and personal service activities,"HENGBUNGBPO HENGBUNG, P.O. KANGPOKPI, SADAR HILLS  ",ROC SHILLONG,debnathcs@rediffmail.com,NA,NA
U93000MN2013NPL008347,CHIBAI INITIATIVE DEVELOPMENT   ,ACTV,Private,Company limited by Shares,Non-govt company,29-07-2013,Manipur,1000000,700000,93000,Other community social and personal service activities,"Sandy Cottage, Tona Road, Elim Veng, New Lamka   ",ROC SHILLONG,limitedchibai@gmail.com,NA,NA
U93000MN2018PTC013763,VINTEL INFRACOM PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,30-10-2018,Manipur,1000000,1000000,93000,Other community social and personal service activities,LIWA ROADBOKUL MAKHONG SINGJAMEI  ,ROC SHILLONG,vincent_namei@yahoo.co.in,31-03-2019,31-03-2019
U93000MN2018PTC013778,LAMJINGBA HOSPITAL AND MEDICAL RESEARCHINSTITUTE PRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,12-12-2018,Manipur,10000000,1000000,93000,Other community social and personal service activities,"C/O KONGKHAM BUNGBUNG SINGHIED-II, C-4-68/1, NAGAMAPAL RIMS ROAD  ",ROC SHILLONG,ougricpl@gmail.com,NA,NA
U52520MN2019OPC013957,HUMLEN RETAIL (OPC) PRIVATE LIMITED   ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,03-10-2019,Manipur,100000,100000,52520,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"C/O Mayanglambam Romio Singh, LamphelIroishemba, Manghiden, Imphal West  ",ROC SHILLONG,brainxmay@gmail.com,NA,NA
U52520MN2019OPC014003,RADIANTPOINT (OPC) PRIVATE LIMITED   ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,25-12-2019,Manipur,100000,100000,52520,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"C/O L. IBOMCHA SINGH , 13-A-6/9,SAGOLBAND TERA LUKRAM LEIRAK,  ",ROC SHILLONG,CLIENT@legalraasta.com,NA,NA
U52520MN2019PTC013855,NIRSHREE DYNAMIC ENTERPRISES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,19-04-2019,Manipur,1000000,100000,52520,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"118, THANGMEIBAND MEISNAM LEIKAIOPP. THAU GROUND  ",ROC SHILLONG,niranjan@jcre.co.in,NA,NA
U52590MN2012PTC008296,R K JOY VINIMAY PRIVATE LIMITED   ,UPSO,Private,Company limited by Shares,Non-govt company,13-01-2012,Manipur,2200000,100000,52590,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,SAGOLBAND BIJOYGOVINDALAMPHEL  ,ROC SHILLONG,rajkumar_ranj@yahoo.co.in,NA,NA
U52601MN2018PTC013734,NEPRAM TRADING PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,12-09-2018,Manipur,100000,100000,52601,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,10-A-37/5Sagolband Akham Lampak  ,ROC SHILLONG,mansinghnepram@gmail.com,31-03-2019,31-03-2019
U52605MN2019PTC013931,LEE-WAA TRADING INDIA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-08-2019,Manipur,100000,20000,52605,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,KWAKEITHEL THOKCHOM LEIKAI4-B-28/9  ,ROC SHILLONG,leewaa13@gmail.com,NA,NA
U52609MN2017OPC013561,LAMNGAN (OPC) PRIVATE LIMITED   ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,07-08-2017,Manipur,1000000,200000,52609,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,KEISHAMTHONG TOP LEIRAKIMPHAL WEST  ,ROC SHILLONG,OUGRICPL@GMAIL.COM,31-03-2019,31-03-2019
U52609MN2018PTC013781,EXPOHOP TECHNOLOGIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,18-12-2018,Manipur,100000,50000,52609,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"C/O L.Ingocha Singh,Kwakta SanthongAwang Leikai  ",ROC SHILLONG,expohop@gmail.com,NA,NA
U52609MN2019PTC013811,ANGOMCHA TRADERS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,08-02-2019,Manipur,50000,50000,52609,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,F-3-31/2URIPOK ACHOM LEIKAI  ,ROC SHILLONG,angompvtltd@gmail.com,31-03-2019,31-03-2019
U52609MN2019PTC013983,SEFI JEWELLERY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,19-11-2019,Manipur,1000000,100000,52609,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"c/o akoijam sanatombi devi, THW-IIIthoubal wangmataba college leirak  ",ROC SHILLONG,kunjacmspl@gmail.com,NA,NA
U52609MN2020PTC014026,MCWANG'S PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,22-01-2020,Manipur,100000,10000,52609,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"IED III, 4-EA-14/6Academy Road, Nongmeibung  ",ROC SHILLONG,friendsnong1975@gmail.com,NA,NA
U55100MN2015PTC008437,GLAZING HILLS INFRACON PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,21-07-2015,Manipur,1000000,100000,55100,Hotels and restaurants,"NAMEIRAKPAM LEIKAI, THONGJU-IIIMPHAL EAST  ",ROC SHILLONG,n_karan14@yahoo.com,31-03-2019,31-03-2019
U55101MN1976PTC001667,HOTEL JUPITER PVT LTD   ,STOF,Private,Company limited by Shares,Non-govt company,08-06-1976,Manipur,500000,20,55101,Hotels and restaurants,THANGAL BAZARIMPHAL   ,ROC SHILLONG,NA,NA,NA
U55101MN1989PLC003367,HOTEL PINTU PVT. LTD.   ,STOF,Public,Company limited by Shares,Non-govt company,03-11-1989,Manipur,4000000,70000,55101,Hotels and restaurants,"A.T.LINE(NEAR ASHA CINEMA HALLIMPHAL,MANIPUR.   ",ROC SHILLONG,NA,NA,NA
U55101MN1992PTC003772,NISHUM HOTEL PVT LTD   ,STOF,Private,Company limited by Shares,Non-govt company,31-08-1992,Manipur,12000000,100000,55101,Hotels and restaurants,FAIRYLANDSTADIUM ROADIMPHAL  ,ROC SHILLONG,kailashyogeshca@yahoo.com,31-03-2006,31-03-2006
U55101MN1998PTC005503,NAJ INDIA ENTERPRISES PVT LTD   ,STOF,Private,Company limited by Shares,Non-govt company,17-08-1998,Manipur,2000000,1700000,55101,Hotels and restaurants,HAOREIBA MAKHA LEIKAILILONG THOUBAL  ,ROC SHILLONG,NA,NA,NA
U55101MN1998PTC005545,JEEVAN RESORTS PVT LTD   ,STOF,Private,Company limited by Shares,Non-govt company,25-09-1998,Manipur,500000,3000,55101,Hotels and restaurants,URIPOK KHWAI PAONA LEIKAIIMPHAL   ,ROC SHILLONG,NA,NA,NA
U55101MN2012PTC008297,BABINA HOSPITALITIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,06-02-2012,Manipur,80000000,76900000,55101,Hotels and restaurants,"Chingmeirong ,Imphal EastP.O Lamlong  ",ROC SHILLONG,yumnamsharat2008@gmail.com,31-03-2019,31-03-2019
U55101MN2012PTC008305,PISGAH HOTELS PRIVATE LIMITED   ,UPSO,Private,Company limited by Shares,Non-govt company,08-06-2012,Manipur,10000000,1000000,55101,Hotels and restaurants,"PISGAH BHAWAN,IMPHAL WEST, PALACE COMPOUND,  ",ROC SHILLONG,jyotimanipur@yahoo.com,NA,NA
U55101MN2012PTC008309,KAI SERVICES PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,21-08-2012,Manipur,1000000,150000,55101,Hotels and restaurants,"CHINGAMAKHONG, SINGJAMIE   ",ROC SHILLONG,somodelta@10yahoo.co.in,NA,NA
U55101MN2012PTC008312,DAANI HOTELS & RESORTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,25-10-2012,Manipur,30000000,200000,55101,Hotels and restaurants,"THANGMEIBAND MAISNAM LEIKAI,   ",ROC SHILLONG,jyotimanipur@gmail.com,31-03-2018,31-03-2019
U55101MN2013PTC008329,STRAWBERRY HOSPITALITY PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,14-03-2013,Manipur,100000,100000,55101,Hotels and restaurants,"Thangmeiband DM College Road,   ",ROC SHILLONG,hucapital@gmail.com,NA,NA
U55101MN2013PTC008353,DAVE HOTEL AND RESORT PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,30-08-2013,Manipur,500000,200000,55101,Hotels and restaurants,PAONA BAZARIMPHAL WEST  ,ROC SHILLONG,manasjainca@gmail.com,NA,NA
U55101MN2013PTC008354,ZINGSOL ENTERPRISES PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,05-09-2013,Manipur,30000000,400000,55101,Hotels and restaurants,"Paite Veng Kwakeithel, Airport Road,Patsoi, Imphal West  ",ROC SHILLONG,yumnamsharat2008@gmail.com,31-03-2015,31-03-2015
U55101MN2014PTC008369,CHINGAO HOTEL & RESORTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,07-01-2014,Manipur,45000000,29956880,55101,Hotels and restaurants,"KHONGMAN ZONE-III(WEST),IMPHAL EAST, MANIPUR  ",ROC SHILLONG,chingaohotel@gmail.com,31-03-2019,31-03-2019
U55101MN2015PTC008449,ROEL HOSPITALITY AND ENTERTAINMENTPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,15-12-2015,Manipur,200000,100000,55101,Hotels and restaurants,KOMLATHABI   ,ROC SHILLONG,moyonr@rediffmail.com,NA,NA
U55101MN2018PTC013738,PUREIROMBA ENTERPRISES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-09-2018,Manipur,1000000,1000000,55101,Hotels and restaurants,"C/o Angom Karna, House No 83Singjamei Mathak Chongtham Leikai  ",ROC SHILLONG,angomk.psd@gmail.com,NA,NA
U55101MN2018PTC013766,HILLS & RIVERSIDE HOLIDAY RESORTSPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,01-11-2018,Manipur,50000000,42075000,55101,Hotels and restaurants,"C/O SANTOSH KUMAR SINGH KONSAMTHONGJU PART-II, MANIPUR UNIVERSITY  ",ROC SHILLONG,pcsvaibhavgarg@gmail.com,31-03-2019,31-03-2019
U55101MN2019PTC013831,KOIRENG AND SONS HOTEL PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,08-03-2019,Manipur,300000,300000,55101,Hotels and restaurants,"12296, 23 - B - 24 / 11, Haobam Marak,Ngangom, Leikai,  ",ROC SHILLONG,pnksingh70@gmail.com,NA,NA
U55101MN2019PTC013871,MOMBI ENTERPRISES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,23-05-2019,Manipur,1000000,50000,55101,Hotels and restaurants,"C/O MR.TH BEDAJIT SINGH IED-III, MT-2-55MEITRAM MAKHA LEIKAI  ",ROC SHILLONG,CSPUINACHANDRA@GMAIL.COM,NA,NA
U55101MN2019PTC013918,RIVERINE SEKMAI HOTELS AND RESORTSPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,02-08-2019,Manipur,1000000,100000,55101,Hotels and restaurants,"Sandy Shores, Sekmai Tural, Awang Sekmai,Koujengleima Khajingpat, PO & PS \x1a Sekmai,  ",ROC SHILLONG,ADITYA.ADVAN@GMAIL.COM,NA,NA
U55201MN2019PTC013906,LANGEI HOTELS AND RESORTS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,16-07-2019,Manipur,1500000,100000,55201,Hotels and restaurants,"C/O MR. L BROJENDRO, IED-III, 4-EA-78LANGEI INTERNATIONAL, NEW CHECKON  ",ROC SHILLONG,ougricpl@gmail.com,NA,NA
U55202MN2019PTC013805,SHIJA HOSPITALITY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,01-02-2019,Manipur,1000000,200000,55202,Hotels and restaurants,"No.91, Shija HospitalsHealth City, Langol, PO Lamphel  ",ROC SHILLONG,cspuinachandra@gmail.com,NA,NA
U55204MN2015PTC008407,LOOKEAST HOSPITALITY SERVICES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,14-01-2015,Manipur,10000000,1000000,55204,Hotels and restaurants,MOIDANGPOK KHUNOU TEHSIL KONTHOUJAMIMPHAL WEST  ,ROC SHILLONG,leninmanipur@gmail.com,31-03-2017,31-03-2017
U55204MN2016PTC013490,GREATSON HOLIDAYS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,15-09-2016,Manipur,1000000,100000,55204,Hotels and restaurants,"THOUBAL NINGOMBAM, MAYAI LEIRAK   ",ROC SHILLONG,waikhomchanuolivia@gmail.com,31-03-2019,31-03-2019
U75112MN1969SGC001299,MANIPUR INDUSTRIAL DEVELOPMENTCORPORATION LTD  ,ACTV,Private,Company limited by Shares,State Govt company,03-06-1969,Manipur,1000000,200000,75112,Public administration and defence compulsory social security,PAONA ROADIMPHAL   ,ROC SHILLONG,NA,NA,NA
U75112MN1995ULL004418,MANIPUR STATE WOMENS DEVELOPMENTCORPORATION LTD  ,STOF,Public,Unlimited Company,Non-govt company,05-04-1995,Manipur,50000000,300,75112,Public administration and defence compulsory social security,KHUMAN LAMPAKSOCIAL WELFARE COMPLEX  ,ROC SHILLONG,NA,NA,NA
U75200MN2011PTC008285,R R VIGIL SYSTEMS & SERVICES PRIVATELIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,06-09-2011,Manipur,200000,100000,75200,Public administration and defence compulsory social security,"A.O.C. PARENG, KAKCHING NINGTHOU LEIKAIP.O. KAKCHING BAZAR  ",ROC SHILLONG,ramaym@yahoo.com,NA,NA
U80210MN2019PTC013927,HILLSLAND EDTECH PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,14-08-2019,Manipur,500000,500000,80210,Education,"LSD- 1, C-5-71/3, RIMS RoadIED- 2, Lamphel  ",ROC SHILLONG,hillslandeducation@gmail.com,NA,NA
U80211MN2015NPL008430,LOYALAM EDUCATIONAL INITIATIVE   ,ACTV,Private,Company limited by Shares,Non-govt company,01-06-2015,Manipur,200000,200000,80211,Education,"PINK TOWER, 3RD FLOOR, KHURAI SAJOR THOIDINGJAMLEIKAI, UKHRUL ROAD, NEAR PETROL PUMP  ",ROC SHILLONG,loyaeducational@gmail.com,31-03-2019,31-03-2019
U80220MN2019PTC013881,EXPOV SOLUTIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,19-06-2019,Manipur,100000,100000,80220,Education,"IED - II, B - 4 - 69/2, ThangmeibandHijam, Dewan Leikai,  ",ROC SHILLONG,leichombam@gmail.com,NA,NA
U80221MN2010PTC008260,BIG CONCEPTS FOUNDATION PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,04-06-2010,Manipur,15000000,9200000,80221,Education,MEISNAM LEIKAITHANGMEIBAND  ,ROC SHILLONG,niranjan@jcre.co.in,31-03-2019,31-03-2019
U80222MN2015PTC008434,BHUBON TECHNICAL & SKILL DEVELOPMENT(BTSD) PRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,03-07-2015,Manipur,100000,100000,80222,Education,"URIPOK YAMBEM LEIKAIPO/PS IMPHAL,IMPHAL WEST  ",ROC SHILLONG,bhubonbtsd@gmail.com,31-03-2019,31-03-2019
U80302MN2019PTC013890,SEEDABA EDUCATION PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,27-06-2019,Manipur,5000000,200000,80302,Education,"2ND FLOOR, WHITE TOWER, URIPOK ACHOM LEIKAI,MAINROAD, OPP SAKHI DEVI GIRLS SCHOOL, IMPHAL WEST,  ",ROC SHILLONG,TARUN_KP12@YAHOO.CO.IN,NA,NA
U80900MN2019NPL013812,SHIJA EDUCATIONAL FOUNDATION   ,ACTV,Private,Company limited by Shares,Non-govt company,08-02-2019,Manipur,1000000,200000,80900,Education,"No.91, Shija hospitals, Health CityLangol, PO - Lamphel  ",ROC SHILLONG,cspuinachandra@gmail.com,NA,NA
U80900MN2019PTC013814,SHINLEI EDU PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,09-02-2019,Manipur,100000,100000,80900,Education,"IED-II, House No:A-6-39/2 ,Lamphel Sanakeithel, LSD-1,  ",ROC SHILLONG,shinleigroup@gmail.com,31-03-2019,31-03-2019
U80900MN2019PTC013822,MAHEI MASING EDUCATION TECHNOLOGYPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,25-02-2019,Manipur,100000,50000,80900,Education,"Room 401, 4th floor, PS Building, Zomivilla gate, North AOC to Minu Thong Road  ",ROC SHILLONG,maipak.raj@gmail.com,NA,NA
U80900MN2019PTC013828,SHRETH CAREER INSTITUTE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,07-03-2019,Manipur,1000000,300000,80900,Education,"IED -III, 9-ED-34/4NWANKHELI, AYANGPALLI, LAISHRAM LEIK,  ",ROC SHILLONG,SHRETHEDUCATION@GMAIL.COM,NA,NA
U80900MN2019PTC013880,EERAMDAM SERVICES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,11-06-2019,Manipur,1000000,50000,80900,Education,"28-LAIRENLAKPAM, LAIRENLAKPAM HOUSECHAJING AWANG LEIKAI, LILONG,IMPHAL WEST  ",ROC SHILLONG,KISHUNMEITEI@GMAIL.COM,NA,NA
U80900MN2019PTC013997,R&T INSTITUTE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-12-2019,Manipur,200000,40000,80900,Education,15260 3-N-76/1DIMDAILONG  ,ROC SHILLONG,trendsetterimphal@gmail.com,NA,NA
U80901MN2018NPL013749,BCBR SOCIAL DEVELOPMENT FOUNDATION   ,ACTV,Private,Company Limited by Guarantee,Non-govt company,30-09-2018,Manipur,0,0,80901,Education,"HOUSE NO: 255,KAKWA ASEM LEIKAI,INDO MYANMAR ROAD,  ",ROC SHILLONG,ASEM.ROBINSON@GMAIL.COM,31-03-2019,31-03-2019
U80902MN2017PTC013521,POINTREX EDUCATIONAL SOLUTION PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,27-03-2017,Manipur,100000,20000,80902,Education,"B - 13 / 4, ThangmeibandKabram Leikai  ",ROC SHILLONG,renold.info@gmail.com,31-03-2019,31-03-2019
U80902MN2019PTC013891,OOMAIBI LEARNING PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,01-07-2019,Manipur,1000000,40000,80902,Education,"C/O SIRISH CHANAM, IED - I, LSD-I,P/C-44/2(SIP), RIMS ROAD  ",ROC SHILLONG,SIRISH_CHANAM@YAHOO.COM,NA,NA
U80902MN2019PTC013963,MIJOH MUSIC PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,18-10-2019,Manipur,1000000,100000,80902,Education,"C/O SOREICHAN NAKHEDEI,SUNSHINE COTTAGEVIEWLAND ZONE -II, VIEWLAND ZONE -III  ",ROC SHILLONG,nakhedei@gmail.com,NA,NA
U80902MN2020NPL014039,ATHOI RESOURCE FOUNDATION   ,ACTV,Private,Company limited by Shares,Non-govt company,30-01-2020,Manipur,500000,100000,80902,Education,C/o Ahongshangbam Birjit Singh 35/17Khangabok House No. 85 Athokpam Khunou  ,ROC SHILLONG,bmtaxation2019@gmail.com,NA,NA
U80902MN2020PTC014030,GIINO CONSULTANCY PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,24-01-2020,Manipur,100000,100000,80902,Education,"No. 4725, Makunga House4th Floor, Thangal Bazar  ",ROC SHILLONG,mmuidou@yahoo.ca,NA,NA
U80903MN2012PTC008310,G.B.K. ENTERPRISES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,22-08-2012,Manipur,10000000,1200000,80903,Education,"47, THANGAL BAZAR,   ",ROC SHILLONG,gbkenterprises_manipur@yahoo.in,31-03-2019,31-03-2019
U80903MN2016PTC008455,FORTHWITH GLOBAL CONSULTING PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,27-01-2016,Manipur,1000000,400000,80903,Education,"ROOM NO.2, THREE STAR PALACE, OPP. KEKRUPATNEAR MINUTHONG  ",ROC SHILLONG,info@forthwithglobal.com,31-03-2018,31-03-2018
U80903MN2018PTC013756,KANGLEI SOLUTIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,12-10-2018,Manipur,1000000,100000,80903,Education,"C/O. L. RAMANI DEVI, IED-III, 14-E-40/17SINGJAMEI MAKHA KAKWA ASEM LEIKAI  ",ROC SHILLONG,ougricpl@gmail.com,NA,NA
